Unable to init server: Could not connect: Connection refused
Unable to init server: Could not connect: Connection refused

(model_trainer.py:429726): Gdk-CRITICAL **: 17:52:54.293: gdk_cursor_new_for_display: assertion 'GDK_IS_DISPLAY (display)' failed
Epochs:  100000
Pretrained:  False
SAM:  False
Adversarial Training Type:  None
Files already downloaded and verified
Files already downloaded and verified
CIFAR10 Data Loaded
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
Epoch:  3890 	Loss:  2.30263090133667
Epoch:  3900 	Loss:  2.3025400638580322
Epoch:  3910 	Loss:  2.302661418914795
Epoch:  3920 	Loss:  2.3025708198547363
Epoch:  3930 	Loss:  2.3027327060699463
Epoch:  3940 	Loss:  2.3026680946350098
Epoch:  3950 	Loss:  2.3026137351989746
Epoch:  3960 	Loss:  2.302574396133423
Epoch:  3970 	Loss:  2.302680492401123
Epoch:  3980 	Loss:  2.302584171295166
Epoch:  3990 	Loss:  2.3026349544525146
Epoch:  4000 	Loss:  2.3026418685913086
Epoch:  4010 	Loss:  2.3025569915771484
Epoch:  4020 	Loss:  2.302522897720337
Epoch:  4030 	Loss:  2.3026373386383057
Epoch:  4040 	Loss:  2.302565097808838
Epoch:  4050 	Loss:  2.3026466369628906
Epoch:  4060 	Loss:  2.302633762359619
Epoch:  4070 	Loss:  2.3025808334350586
Epoch:  4080 	Loss:  2.3027729988098145
Epoch:  4090 	Loss:  2.302692413330078
Epoch:  4100 	Loss:  2.302610397338867
Epoch:  4110 	Loss:  2.3026928901672363
Epoch:  4120 	Loss:  2.302612781524658
Epoch:  4130 	Loss:  2.302673578262329
Epoch:  4140 	Loss:  2.302624225616455
Epoch:  4150 	Loss:  2.302644968032837
Epoch:  4160 	Loss:  2.3025925159454346
Epoch:  4170 	Loss:  2.302741289138794
Epoch:  4180 	Loss:  2.3026561737060547
Epoch:  4190 	Loss:  2.3026463985443115
Epoch:  4200 	Loss:  2.302542209625244
Epoch:  4210 	Loss:  2.3025898933410645
Epoch:  4220 	Loss:  2.3025217056274414
Epoch:  4230 	Loss:  2.3026957511901855
Epoch:  4240 	Loss:  2.3027143478393555
Epoch:  4250 	Loss:  2.302577257156372
Epoch:  4260 	Loss:  2.302600860595703
Epoch:  4270 	Loss:  2.302737236022949
Epoch:  4280 	Loss:  2.302537679672241
Epoch:  4290 	Loss:  2.302550792694092
Epoch:  4300 	Loss:  2.302715301513672
Epoch:  4310 	Loss:  2.3026556968688965
Epoch:  4320 	Loss:  2.302586078643799
Epoch:  4330 	Loss:  2.3025357723236084
Epoch:  4340 	Loss:  2.302614450454712
Epoch:  4350 	Loss:  2.3025903701782227
Epoch:  4360 	Loss:  2.3027186393737793
Epoch:  4370 	Loss:  2.3026561737060547
Epoch:  4380 	Loss:  2.3026626110076904
Epoch:  4390 	Loss:  2.3026857376098633
Epoch:  4400 	Loss:  2.3026528358459473
Epoch:  4410 	Loss:  2.302600622177124
Epoch:  4420 	Loss:  2.3025994300842285
Epoch:  4430 	Loss:  2.3024306297302246
Epoch:  4440 	Loss:  2.3025147914886475
Epoch:  4450 	Loss:  2.302638292312622
Epoch:  4460 	Loss:  2.302598237991333
Epoch:  4470 	Loss:  2.3026256561279297
Epoch:  4480 	Loss:  2.3026413917541504
Epoch:  4490 	Loss:  2.302560329437256
Epoch:  4500 	Loss:  2.302671194076538
Epoch:  4510 	Loss:  2.3024821281433105
Epoch:  4520 	Loss:  2.302703619003296
Epoch:  4530 	Loss:  2.302741765975952
Epoch:  4540 	Loss:  2.302569627761841
Epoch:  4550 	Loss:  2.3025951385498047
Epoch:  4560 	Loss:  2.3025896549224854
Epoch:  4570 	Loss:  2.302704334259033
Epoch:  4580 	Loss:  2.302647113800049
Epoch:  4590 	Loss:  2.302609443664551
Epoch:  4600 	Loss:  2.3025906085968018
Epoch:  4610 	Loss:  2.3026123046875
Epoch:  4620 	Loss:  2.3025288581848145
Epoch:  4630 	Loss:  2.302626132965088
Epoch:  4640 	Loss:  2.3026440143585205
Epoch:  4650 	Loss:  2.3025574684143066
Epoch:  4660 	Loss:  2.3026366233825684
Epoch:  4670 	Loss:  2.3025882244110107
Epoch:  4680 	Loss:  2.3026185035705566
Epoch:  4690 	Loss:  2.302614688873291
Epoch:  4700 	Loss:  2.3026490211486816
Epoch:  4710 	Loss:  2.3026270866394043
Epoch:  4720 	Loss:  2.302642345428467
Epoch:  4730 	Loss:  2.3026700019836426
Epoch:  4740 	Loss:  2.302618980407715
Epoch:  4750 	Loss:  2.3025898933410645
Epoch:  4760 	Loss:  2.302528142929077
Epoch:  4770 	Loss:  2.30257511138916
Epoch:  4780 	Loss:  2.3026630878448486
Epoch:  4790 	Loss:  2.3025832176208496
Epoch:  4800 	Loss:  2.302642345428467
Epoch:  4810 	Loss:  2.3025784492492676
Epoch:  4820 	Loss:  2.3026821613311768
Epoch:  4830 	Loss:  2.3026375770568848
Epoch:  4840 	Loss:  2.3026070594787598
Epoch:  4850 	Loss:  2.302511692047119
Epoch:  4860 	Loss:  2.3025431632995605
Epoch:  4870 	Loss:  2.302574634552002
Epoch:  4880 	Loss:  2.3026509284973145
Epoch:  4890 	Loss:  2.302678108215332
Epoch:  4900 	Loss:  2.30259370803833
Epoch:  4910 	Loss:  2.302616596221924
Epoch:  4920 	Loss:  2.302623987197876
Epoch:  4930 	Loss:  2.302605628967285
Epoch:  4940 	Loss:  2.3026232719421387
Epoch:  4950 	Loss:  2.302661895751953
Epoch:  4960 	Loss:  2.3025951385498047
Epoch:  4970 	Loss:  2.302583932876587
Epoch:  4980 	Loss:  2.302539587020874
Epoch:  4990 	Loss:  2.302605152130127
Epoch:  5000 	Loss:  2.30254864692688
Epoch:  5010 	Loss:  2.302635431289673
Epoch:  5020 	Loss:  2.302551507949829
Epoch:  5030 	Loss:  2.302619218826294
Epoch:  5040 	Loss:  2.3026015758514404
Epoch:  5050 	Loss:  2.3026323318481445
Epoch:  5060 	Loss:  2.3026318550109863
Epoch:  5070 	Loss:  2.30261492729187
Epoch:  5080 	Loss:  2.30269718170166
Epoch:  5090 	Loss:  2.3026397228240967
Epoch:  5100 	Loss:  2.3027360439300537
Epoch:  5110 	Loss:  2.302696466445923
Epoch:  5120 	Loss:  2.3026630878448486
Epoch:  5130 	Loss:  2.302619218826294
Epoch:  5140 	Loss:  2.3026251792907715
Epoch:  5150 	Loss:  2.302557945251465
Epoch:  5160 	Loss:  2.302544355392456
Epoch:  5170 	Loss:  2.3025460243225098
Epoch:  5180 	Loss:  2.302680492401123
Epoch:  5190 	Loss:  2.3026607036590576
Epoch:  5200 	Loss:  2.3026254177093506
Epoch:  5210 	Loss:  2.302591562271118
Epoch:  5220 	Loss:  2.302611827850342
Epoch:  5230 	Loss:  2.302628993988037
Epoch:  5240 	Loss:  2.3026161193847656
Epoch:  5250 	Loss:  2.3026812076568604
Epoch:  5260 	Loss:  2.3026859760284424
Epoch:  5270 	Loss:  2.3027045726776123
Epoch:  5280 	Loss:  2.3027126789093018
Epoch:  5290 	Loss:  2.302525281906128
Epoch:  5300 	Loss:  2.302623748779297
Epoch:  5310 	Loss:  2.3025755882263184
Epoch:  5320 	Loss:  2.3026647567749023
Epoch:  5330 	Loss:  2.3026480674743652
Epoch:  5340 	Loss:  2.302588701248169
Epoch:  5350 	Loss:  2.302586555480957
Epoch:  5360 	Loss:  2.302598476409912
Epoch:  5370 	Loss:  2.3026108741760254
Epoch:  5380 	Loss:  2.3025894165039062
Epoch:  5390 	Loss:  2.3026366233825684
Epoch:  5400 	Loss:  2.302640438079834
Epoch:  5410 	Loss:  2.3025174140930176
Epoch:  5420 	Loss:  2.302628993988037
Epoch:  5430 	Loss:  2.3026719093322754
Epoch:  5440 	Loss:  2.3024134635925293
Epoch:  5450 	Loss:  2.302624225616455
Epoch:  5460 	Loss:  2.302750825881958
Epoch:  5470 	Loss:  2.302602767944336
Epoch:  5480 	Loss:  2.3025336265563965
Epoch:  5490 	Loss:  2.3025333881378174
Epoch:  5500 	Loss:  2.3025906085968018
Epoch:  5510 	Loss:  2.3026084899902344
Epoch:  5520 	Loss:  2.3026766777038574
Epoch:  5530 	Loss:  2.302608013153076
Epoch:  5540 	Loss:  2.3026978969573975
Epoch:  5550 	Loss:  2.3024868965148926
Epoch:  5560 	Loss:  2.302701950073242
Epoch:  5570 	Loss:  2.302656650543213
Epoch:  5580 	Loss:  2.3026108741760254
Epoch:  5590 	Loss:  2.302680015563965
Epoch:  5600 	Loss:  2.302615165710449
Epoch:  5610 	Loss:  2.3025825023651123
Epoch:  5620 	Loss:  2.302608013153076
Epoch:  5630 	Loss:  2.3025455474853516
Epoch:  5640 	Loss:  2.3026301860809326
Epoch:  5650 	Loss:  2.30259370803833
Epoch:  5660 	Loss:  2.302690029144287
Epoch:  5670 	Loss:  2.302586078643799
Epoch:  5680 	Loss:  2.3025879859924316
Epoch:  5690 	Loss:  2.302583932876587
Epoch:  5700 	Loss:  2.302703857421875
Epoch:  5710 	Loss:  2.302518844604492
Epoch:  5720 	Loss:  2.3026347160339355
Epoch:  5730 	Loss:  2.3025503158569336
Epoch:  5740 	Loss:  2.3026628494262695
Epoch:  5750 	Loss:  2.302645683288574
Epoch:  5760 	Loss:  2.302637815475464
Epoch:  5770 	Loss:  2.302564859390259
Epoch:  5780 	Loss:  2.3026561737060547
Epoch:  5790 	Loss:  2.3025906085968018
Epoch:  5800 	Loss:  2.3026483058929443
Epoch:  5810 	Loss:  2.3026578426361084
Epoch:  5820 	Loss:  2.3025405406951904
Epoch:  5830 	Loss:  2.3025519847869873
Epoch:  5840 	Loss:  2.3025383949279785
Epoch:  5850 	Loss:  2.3026013374328613
Epoch:  5860 	Loss:  2.3026809692382812
Epoch:  5870 	Loss:  2.3026413917541504
Epoch:  5880 	Loss:  2.30255126953125
Epoch:  5890 	Loss:  2.3025782108306885
Epoch:  5900 	Loss:  2.3025944232940674
Epoch:  5910 	Loss:  2.302596092224121
Epoch:  5920 	Loss:  2.302647113800049
Epoch:  5930 	Loss:  2.302527666091919
Epoch:  5940 	Loss:  2.302590847015381
Epoch:  5950 	Loss:  2.3026018142700195
Epoch:  5960 	Loss:  2.3026621341705322
Epoch:  5970 	Loss:  2.302703857421875
Epoch:  5980 	Loss:  2.302593231201172
Epoch:  5990 	Loss:  2.3025732040405273
Epoch:  6000 	Loss:  2.3026840686798096
Epoch:  6010 	Loss:  2.302701473236084
Epoch:  6020 	Loss:  2.302550792694092
Epoch:  6030 	Loss:  2.302647829055786
Epoch:  6040 	Loss:  2.302577495574951
Epoch:  6050 	Loss:  2.3026487827301025
Epoch:  6060 	Loss:  2.302546739578247
Epoch:  6070 	Loss:  2.302584409713745
Epoch:  6080 	Loss:  2.302576780319214
Epoch:  6090 	Loss:  2.302690029144287
Epoch:  6100 	Loss:  2.302609920501709
Epoch:  6110 	Loss:  2.3025755882263184
Epoch:  6120 	Loss:  2.302581310272217
Epoch:  6130 	Loss:  2.3024697303771973
Epoch:  6140 	Loss:  2.3025784492492676
Epoch:  6150 	Loss:  2.302605152130127
Epoch:  6160 	Loss:  2.3026232719421387
Epoch:  6170 	Loss:  2.302671432495117
Epoch:  6180 	Loss:  2.302518129348755
Epoch:  6190 	Loss:  2.3026082515716553
Epoch:  6200 	Loss:  2.302600383758545
Epoch:  6210 	Loss:  2.302591562271118
Epoch:  6220 	Loss:  2.3027069568634033
Epoch:  6230 	Loss:  2.302642345428467
Epoch:  6240 	Loss:  2.30263090133667
Epoch:  6250 	Loss:  2.302650213241577
Epoch:  6260 	Loss:  2.302633762359619
Epoch:  6270 	Loss:  2.302626132965088
Epoch:  6280 	Loss:  2.302612066268921
Epoch:  6290 	Loss:  2.302593469619751
Epoch:  6300 	Loss:  2.302659034729004
Epoch:  6310 	Loss:  2.302581310272217
Epoch:  6320 	Loss:  2.3027327060699463
Epoch:  6330 	Loss:  2.302600145339966
Epoch:  6340 	Loss:  2.302581310272217
Epoch:  6350 	Loss:  2.3026883602142334
Epoch:  6360 	Loss:  2.3026340007781982
Epoch:  6370 	Loss:  2.3025927543640137
Epoch:  6380 	Loss:  2.302654266357422
Epoch:  6390 	Loss:  2.302698850631714
Epoch:  6400 	Loss:  2.302590847015381
Epoch:  6410 	Loss:  2.302614212036133
Epoch:  6420 	Loss:  2.302502393722534
Epoch:  6430 	Loss:  2.302673816680908
Epoch:  6440 	Loss:  2.3025660514831543
Epoch:  6450 	Loss:  2.3025975227355957
Epoch:  6460 	Loss:  2.3024468421936035
Epoch:  6470 	Loss:  2.3026418685913086
Epoch:  6480 	Loss:  2.302581548690796
Epoch:  6490 	Loss:  2.302666664123535
Epoch:  6500 	Loss:  2.302738666534424
Epoch:  6510 	Loss:  2.302588939666748
Epoch:  6520 	Loss:  2.302518367767334
Epoch:  6530 	Loss:  2.3026108741760254
Epoch:  6540 	Loss:  2.3025963306427
Epoch:  6550 	Loss:  2.302704095840454
Epoch:  6560 	Loss:  2.3026340007781982
Epoch:  6570 	Loss:  2.3025355339050293
Epoch:  6580 	Loss:  2.302527904510498
Epoch:  6590 	Loss:  2.3025898933410645
Epoch:  6600 	Loss:  2.302623748779297
Epoch:  6610 	Loss:  2.302574634552002
Epoch:  6620 	Loss:  2.30253529548645
Epoch:  6630 	Loss:  2.3026371002197266
Epoch:  6640 	Loss:  2.302497148513794
Epoch:  6650 	Loss:  2.3026254177093506
Epoch:  6660 	Loss:  2.3025028705596924
Epoch:  6670 	Loss:  2.302537202835083
Epoch:  6680 	Loss:  2.302550792694092
Epoch:  6690 	Loss:  2.302480697631836
Epoch:  6700 	Loss:  2.3026375770568848
Epoch:  6710 	Loss:  2.3025712966918945
Epoch:  6720 	Loss:  2.3025081157684326
Epoch:  6730 	Loss:  2.302572011947632
Epoch:  6740 	Loss:  2.3026580810546875
Epoch:  6750 	Loss:  2.3026185035705566
Epoch:  6760 	Loss:  2.3026034832000732
Epoch:  6770 	Loss:  2.3025949001312256
Epoch:  6780 	Loss:  2.3025782108306885
Epoch:  6790 	Loss:  2.3027610778808594
Epoch:  6800 	Loss:  2.3026211261749268
Epoch:  6810 	Loss:  2.302638292312622
Epoch:  6820 	Loss:  2.3026397228240967
Epoch:  6830 	Loss:  2.302595853805542
Epoch:  6840 	Loss:  2.302600383758545
Epoch:  6850 	Loss:  2.302644968032837
Epoch:  6860 	Loss:  2.3026132583618164
Epoch:  6870 	Loss:  2.302563190460205
Epoch:  6880 	Loss:  2.302567958831787
Epoch:  6890 	Loss:  2.3026020526885986
Epoch:  6900 	Loss:  2.302631139755249
Epoch:  6910 	Loss:  2.3025989532470703
Epoch:  6920 	Loss:  2.3024942874908447
Epoch:  6930 	Loss:  2.3026320934295654
Epoch:  6940 	Loss:  2.3025898933410645
Epoch:  6950 	Loss:  2.3025994300842285
Epoch:  6960 	Loss:  2.302605152130127
Epoch:  6970 	Loss:  2.3026227951049805
Epoch:  6980 	Loss:  2.3027162551879883
Epoch:  6990 	Loss:  2.3026440143585205
Epoch:  7000 	Loss:  2.302557945251465
Epoch:  7010 	Loss:  2.302624225616455
Epoch:  7020 	Loss:  2.3025715351104736
Epoch:  7030 	Loss:  2.302626132965088
Epoch:  7040 	Loss:  2.3024935722351074
Epoch:  7050 	Loss:  2.3025689125061035
Epoch:  7060 	Loss:  2.3025712966918945
Epoch:  7070 	Loss:  2.3025906085968018
Epoch:  7080 	Loss:  2.3026771545410156
Epoch:  7090 	Loss:  2.3026750087738037
Epoch:  7100 	Loss:  2.302570343017578
Epoch:  7110 	Loss:  2.302716016769409
Epoch:  7120 	Loss:  2.302612066268921
Epoch:  7130 	Loss:  2.302532911300659
Epoch:  7140 	Loss:  2.3025906085968018
Epoch:  7150 	Loss:  2.302600383758545
Epoch:  7160 	Loss:  2.302546977996826
Epoch:  7170 	Loss:  2.3025710582733154
Epoch:  7180 	Loss:  2.302635431289673
Epoch:  7190 	Loss:  2.302629232406616
Epoch:  7200 	Loss:  2.30256724357605
Epoch:  7210 	Loss:  2.302586078643799
Epoch:  7220 	Loss:  2.3025825023651123
Epoch:  7230 	Loss:  2.302476644515991
Epoch:  7240 	Loss:  2.3025941848754883
Epoch:  7250 	Loss:  2.302572727203369
Epoch:  7260 	Loss:  2.3026232719421387
Epoch:  7270 	Loss:  2.302663564682007
Epoch:  7280 	Loss:  2.3026552200317383
Epoch:  7290 	Loss:  2.302500009536743
Epoch:  7300 	Loss:  2.302858829498291
Epoch:  7310 	Loss:  2.302551746368408
Epoch:  7320 	Loss:  2.3026134967803955
Epoch:  7330 	Loss:  2.302703857421875
Epoch:  7340 	Loss:  2.3025360107421875
Epoch:  7350 	Loss:  2.3026037216186523
Epoch:  7360 	Loss:  2.3026280403137207
Epoch:  7370 	Loss:  2.3026089668273926
Epoch:  7380 	Loss:  2.3025035858154297
Epoch:  7390 	Loss:  2.302591562271118
Epoch:  7400 	Loss:  2.302609443664551
Epoch:  7410 	Loss:  2.302716016769409
Epoch:  7420 	Loss:  2.3026070594787598
Epoch:  7430 	Loss:  2.302642345428467
Epoch:  7440 	Loss:  2.3025851249694824
Epoch:  7450 	Loss:  2.302598476409912
Epoch:  7460 	Loss:  2.302612781524658
Epoch:  7470 	Loss:  2.3025615215301514
Epoch:  7480 	Loss:  2.3026938438415527
Epoch:  7490 	Loss:  2.3026340007781982
Epoch:  7500 	Loss:  2.302565574645996
Epoch:  7510 	Loss:  2.302619218826294
Epoch:  7520 	Loss:  2.302586555480957
Epoch:  7530 	Loss:  2.302633762359619
Epoch:  7540 	Loss:  2.3025665283203125
Epoch:  7550 	Loss:  2.3025963306427
Epoch:  7560 	Loss:  2.3025238513946533
Epoch:  7570 	Loss:  2.302675724029541
Epoch:  7580 	Loss:  2.302593946456909
Epoch:  7590 	Loss:  2.3026206493377686
Epoch:  7600 	Loss:  2.3025741577148438
Epoch:  7610 	Loss:  2.3026790618896484
Epoch:  7620 	Loss:  2.302645444869995
Epoch:  7630 	Loss:  2.3025951385498047
Epoch:  7640 	Loss:  2.302605152130127
Epoch:  7650 	Loss:  2.302638530731201
Epoch:  7660 	Loss:  2.302628993988037
Epoch:  7670 	Loss:  2.3025383949279785
Epoch:  7680 	Loss:  2.3026034832000732
Epoch:  7690 	Loss:  2.3026130199432373
Epoch:  7700 	Loss:  2.3026041984558105
Epoch:  7710 	Loss:  2.3025214672088623
Epoch:  7720 	Loss:  2.3025975227355957
Epoch:  7730 	Loss:  2.3026721477508545
Epoch:  7740 	Loss:  2.3025829792022705
Epoch:  7750 	Loss:  2.30263352394104
Epoch:  7760 	Loss:  2.302558422088623
Epoch:  7770 	Loss:  2.3025856018066406
Epoch:  7780 	Loss:  2.302664041519165
Epoch:  7790 	Loss:  2.3026108741760254
Epoch:  7800 	Loss:  2.3026013374328613
Epoch:  7810 	Loss:  2.3025708198547363
Epoch:  7820 	Loss:  2.302591323852539
Epoch:  7830 	Loss:  2.3026697635650635
Epoch:  7840 	Loss:  2.30261492729187
Epoch:  7850 	Loss:  2.3025665283203125
Epoch:  7860 	Loss:  2.3026747703552246
Epoch:  7870 	Loss:  2.3025052547454834
Epoch:  7880 	Loss:  2.3026602268218994
Epoch:  7890 	Loss:  2.3025760650634766
Epoch:  7900 	Loss:  2.3026342391967773
Epoch:  7910 	Loss:  2.3025588989257812
Epoch:  7920 	Loss:  2.302582025527954
Epoch:  7930 	Loss:  2.3027288913726807
Epoch:  7940 	Loss:  2.3026480674743652
Epoch:  7950 	Loss:  2.3026974201202393
Epoch:  7960 	Loss:  2.3026652336120605
Epoch:  7970 	Loss:  2.302633762359619
Epoch:  7980 	Loss:  2.302603244781494
Epoch:  7990 	Loss:  2.30258846282959
Epoch:  8000 	Loss:  2.3026511669158936
Epoch:  8010 	Loss:  2.3025834560394287
Epoch:  8020 	Loss:  2.302568197250366
Epoch:  8030 	Loss:  2.3026950359344482
Epoch:  8040 	Loss:  2.3026535511016846
Epoch:  8050 	Loss:  2.3025732040405273
Epoch:  8060 	Loss:  2.3025803565979004
Epoch:  8070 	Loss:  2.3026156425476074
Epoch:  8080 	Loss:  2.3025689125061035
Epoch:  8090 	Loss:  2.302515983581543
Epoch:  8100 	Loss:  2.3025784492492676
Epoch:  8110 	Loss:  2.3025619983673096
Epoch:  8120 	Loss:  2.3026838302612305
Epoch:  8130 	Loss:  2.302598476409912
Epoch:  8140 	Loss:  2.302687406539917
Epoch:  8150 	Loss:  2.302577495574951
Epoch:  8160 	Loss:  2.3025708198547363
Epoch:  8170 	Loss:  2.3026785850524902
Epoch:  8180 	Loss:  2.3026444911956787
Epoch:  8190 	Loss:  2.3026063442230225
Epoch:  8200 	Loss:  2.302687883377075
Epoch:  8210 	Loss:  2.3025832176208496
Epoch:  8220 	Loss:  2.3025922775268555
Epoch:  8230 	Loss:  2.3026957511901855
Epoch:  8240 	Loss:  2.302666425704956
Epoch:  8250 	Loss:  2.3026061058044434
Epoch:  8260 	Loss:  2.302649974822998
Epoch:  8270 	Loss:  2.3026609420776367
Epoch:  8280 	Loss:  2.3026177883148193
Epoch:  8290 	Loss:  2.3026156425476074
Epoch:  8300 	Loss:  2.302530288696289
Epoch:  8310 	Loss:  2.302701234817505
Epoch:  8320 	Loss:  2.302673578262329
Epoch:  8330 	Loss:  2.302675724029541
Epoch:  8340 	Loss:  2.3026580810546875
Epoch:  8350 	Loss:  2.302607297897339
Epoch:  8360 	Loss:  2.302504062652588
Epoch:  8370 	Loss:  2.302729606628418
Epoch:  8380 	Loss:  2.3025336265563965
Epoch:  8390 	Loss:  2.302705764770508
Epoch:  8400 	Loss:  2.302722454071045
Epoch:  8410 	Loss:  2.302530288696289
Epoch:  8420 	Loss:  2.3025951385498047
Epoch:  8430 	Loss:  2.302600383758545
Epoch:  8440 	Loss:  2.3025639057159424
Epoch:  8450 	Loss:  2.3026413917541504
Epoch:  8460 	Loss:  2.302583694458008
Epoch:  8470 	Loss:  2.302603006362915
Epoch:  8480 	Loss:  2.3025929927825928
Epoch:  8490 	Loss:  2.3026721477508545
Epoch:  8500 	Loss:  2.302551507949829
Epoch:  8510 	Loss:  2.3025600910186768
Epoch:  8520 	Loss:  2.3025450706481934
Epoch:  8530 	Loss:  2.3026504516601562
Epoch:  8540 	Loss:  2.3026022911071777
Epoch:  8550 	Loss:  2.3027079105377197
Epoch:  8560 	Loss:  2.302555561065674
Epoch:  8570 	Loss:  2.3026721477508545
Epoch:  8580 	Loss:  2.3026554584503174
Epoch:  8590 	Loss:  2.3026864528656006
Epoch:  8600 	Loss:  2.302645444869995
Epoch:  8610 	Loss:  2.302612066268921
Epoch:  8620 	Loss:  2.302604913711548
Epoch:  8630 	Loss:  2.3027167320251465
Epoch:  8640 	Loss:  2.302685260772705
Epoch:  8650 	Loss:  2.3027451038360596
Epoch:  8660 	Loss:  2.3025670051574707
Epoch:  8670 	Loss:  2.3025665283203125
Epoch:  8680 	Loss:  2.302690029144287
Epoch:  8690 	Loss:  2.3026556968688965
Epoch:  8700 	Loss:  2.302539110183716
Epoch:  8710 	Loss:  2.3026609420776367
Epoch:  8720 	Loss:  2.3025741577148438
Epoch:  8730 	Loss:  2.302691698074341
Epoch:  8740 	Loss:  2.302530527114868
Epoch:  8750 	Loss:  2.3025643825531006
Epoch:  8760 	Loss:  2.302518367767334
Epoch:  8770 	Loss:  2.3027873039245605
Epoch:  8780 	Loss:  2.302635669708252
Epoch:  8790 	Loss:  2.3026123046875
Epoch:  8800 	Loss:  2.3027100563049316
Epoch:  8810 	Loss:  2.3026788234710693
Epoch:  8820 	Loss:  2.302675485610962
Epoch:  8830 	Loss:  2.3027100563049316
Epoch:  8840 	Loss:  2.3026680946350098
Epoch:  8850 	Loss:  2.3026390075683594
Epoch:  8860 	Loss:  2.3026747703552246
Epoch:  8870 	Loss:  2.302637815475464
Epoch:  8880 	Loss:  2.3025453090667725
Epoch:  8890 	Loss:  2.3025898933410645
Epoch:  8900 	Loss:  2.302553415298462
Epoch:  8910 	Loss:  2.30267333984375
Epoch:  8920 	Loss:  2.302588701248169
Epoch:  8930 	Loss:  2.302698850631714
Epoch:  8940 	Loss:  2.302696466445923
Epoch:  8950 	Loss:  2.302572727203369
Epoch:  8960 	Loss:  2.3027079105377197
Epoch:  8970 	Loss:  2.30258846282959
Epoch:  8980 	Loss:  2.3027613162994385
Epoch:  8990 	Loss:  2.3025295734405518
Epoch:  9000 	Loss:  2.3026061058044434
Epoch:  9010 	Loss:  2.302617073059082
Epoch:  9020 	Loss:  2.3026325702667236
Epoch:  9030 	Loss:  2.30265474319458
Epoch:  9040 	Loss:  2.302485942840576
Epoch:  9050 	Loss:  2.302565097808838
Epoch:  9060 	Loss:  2.302664279937744
Epoch:  9070 	Loss:  2.3025615215301514
Epoch:  9080 	Loss:  2.302579402923584
Epoch:  9090 	Loss:  2.3026299476623535
Epoch:  9100 	Loss:  2.3026156425476074
Epoch:  9110 	Loss:  2.302568197250366
Epoch:  9120 	Loss:  2.3026509284973145
Epoch:  9130 	Loss:  2.3025834560394287
Epoch:  9140 	Loss:  2.302565336227417
Epoch:  9150 	Loss:  2.3027379512786865
Epoch:  9160 	Loss:  2.302588939666748
Epoch:  9170 	Loss:  2.3025825023651123
Epoch:  9180 	Loss:  2.3026015758514404
Epoch:  9190 	Loss:  2.3026204109191895
Epoch:  9200 	Loss:  2.3026068210601807
Epoch:  9210 	Loss:  2.3026416301727295
Epoch:  9220 	Loss:  2.3025033473968506
Epoch:  9230 	Loss:  2.302600145339966
Epoch:  9240 	Loss:  2.3024699687957764
Epoch:  9250 	Loss:  2.30259108543396
Epoch:  9260 	Loss:  2.302656650543213
Epoch:  9270 	Loss:  2.3026106357574463
Epoch:  9280 	Loss:  2.302625894546509
Epoch:  9290 	Loss:  2.302642345428467
Epoch:  9300 	Loss:  2.3026134967803955
Epoch:  9310 	Loss:  2.302563190460205
Epoch:  9320 	Loss:  2.302736282348633
Epoch:  9330 	Loss:  2.302600860595703
Epoch:  9340 	Loss:  2.3026630878448486
Epoch:  9350 	Loss:  2.302628993988037
Epoch:  9360 	Loss:  2.3025882244110107
Epoch:  9370 	Loss:  2.3025901317596436
Epoch:  9380 	Loss:  2.302549123764038
Epoch:  9390 	Loss:  2.3026363849639893
Epoch:  9400 	Loss:  2.3026068210601807
Epoch:  9410 	Loss:  2.3025455474853516
Epoch:  9420 	Loss:  2.302626132965088
Epoch:  9430 	Loss:  2.302574634552002
Epoch:  9440 	Loss:  2.30269455909729
Epoch:  9450 	Loss:  2.302529811859131
Epoch:  9460 	Loss:  2.3025832176208496
Epoch:  9470 	Loss:  2.3026058673858643
Epoch:  9480 	Loss:  2.302607536315918
Epoch:  9490 	Loss:  2.302603244781494
Epoch:  9500 	Loss:  2.3026957511901855
Epoch:  9510 	Loss:  2.302548885345459
Epoch:  9520 	Loss:  2.3026742935180664
Epoch:  9530 	Loss:  2.302631378173828
Epoch:  9540 	Loss:  2.3025870323181152
Epoch:  9550 	Loss:  2.302607774734497
Epoch:  9560 	Loss:  2.302622079849243
Epoch:  9570 	Loss:  2.302558422088623
Epoch:  9580 	Loss:  2.3026034832000732
Epoch:  9590 	Loss:  2.3025875091552734
Epoch:  9600 	Loss:  2.3025381565093994
Epoch:  9610 	Loss:  2.3026528358459473
Epoch:  9620 	Loss:  2.3026039600372314
Epoch:  9630 	Loss:  2.302541732788086
Epoch:  9640 	Loss:  2.3025803565979004
Epoch:  9650 	Loss:  2.3025803565979004
Epoch:  9660 	Loss:  2.3026018142700195
Epoch:  9670 	Loss:  2.302670478820801
Epoch:  9680 	Loss:  2.3026039600372314
Epoch:  9690 	Loss:  2.302652597427368
Epoch:  9700 	Loss:  2.302694797515869
Epoch:  9710 	Loss:  2.3025879859924316
Epoch:  9720 	Loss:  2.302633047103882
Epoch:  9730 	Loss:  2.3026702404022217
Epoch:  9740 	Loss:  2.3025546073913574
